City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
237,Kigoma,TZ,-4.8769,29.6267,75.79,73,75,3.44,broken clouds
238,Touros,BR,-5.1989,-35.4608,88.7,57,31,14.99,scattered clouds
239,Bantogon,PH,6.5333,124.0333,78.08,76,49,4.18,scattered clouds
240,Coihaique,CL,-45.5752,-72.0662,77.61,31,0,11.5,clear sky
241,Richards Bay,ZA,-28.783,32.0377,72.77,84,11,3.83,few clouds
242,Cape Town,ZA,-33.9258,18.4232,74.26,71,0,16.11,clear sky
243,Tiksi,RU,71.6872,128.8694,-24.0,99,85,6.78,overcast clouds
244,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.61,59,24,11.01,few clouds
245,Sumbe,AO,-11.2061,13.8437,77.22,78,94,8.12,overcast clouds
246,Babra,IN,21.85,71.3,69.12,30,3,7.43,clear sky
247,Fort Smith,US,35.3859,-94.3986,49.17,44,2,3.0,clear sky
248,Tabas,IR,33.5959,56.9244,51.66,39,99,5.99,overcast clouds
249,Iquitos,PE,-3.7481,-73.2472,80.64,78,75,6.91,broken clouds
250,Longyearbyen,SJ,78.2186,15.6401,17.44,86,100,3.44,light snow
251,Vila Velha,BR,-20.3297,-40.2925,85.95,73,40,11.5,scattered clouds
252,Jiangkou,CN,25.4872,119.1986,51.69,91,33,7.9,scattered clouds
253,Kenai,US,60.5544,-151.2583,21.25,82,75,14.97,broken clouds
254,Broome,US,42.2506,-75.833,39.33,63,100,4.0,overcast clouds
255,Erzin,TR,36.9559,36.2,50.52,78,81,3.22,broken clouds
256,Camana,PE,-16.6228,-72.7111,75.63,68,93,8.84,overcast clouds
257,Manokwari,ID,-0.8667,134.0833,78.39,80,100,3.24,overcast clouds
258,Bermeo,ES,43.4209,-2.7215,53.49,90,78,3.4,broken clouds
259,Gravdal,NO,68.1214,13.5031,28.29,100,40,4.61,scattered clouds
260,Bandarbeyla,SO,9.4942,50.8122,75.67,68,23,19.44,few clouds
261,Mattru,SL,7.6244,-11.8332,87.55,51,100,8.57,overcast clouds
262,Kieta,PG,-6.2167,155.6333,80.35,86,100,8.81,overcast clouds
263,Saint Pete Beach,US,27.7253,-82.7412,67.12,75,12,5.01,few clouds
264,Aykhal,RU,66.0,111.5,-23.04,100,99,7.56,overcast clouds
265,Ahipara,NZ,-35.1667,173.1667,72.59,98,99,5.97,overcast clouds
266,Vardo,NO,70.3705,31.1107,25.0,86,40,17.27,scattered clouds
267,Lorengau,PG,-2.0226,147.2712,81.01,81,100,5.5,overcast clouds
268,Quatre Cocos,MU,-20.2078,57.7625,78.91,84,64,8.01,light rain
269,Kupino,RU,54.3663,77.2981,4.35,93,45,7.85,scattered clouds
270,Sakakah,SA,29.9697,40.2064,56.77,35,0,6.15,clear sky
271,Auki,SB,-8.7676,160.7034,79.09,88,100,7.94,light rain
272,Sobolevo,RU,54.4299,31.8996,32.88,97,100,7.99,overcast clouds
273,Kurumkan,RU,54.3,110.3,0.93,97,99,3.24,overcast clouds
274,Bonoua,CI,5.2741,-3.595,80.22,74,48,7.05,scattered clouds
275,Cherskiy,RU,68.75,161.3,-33.97,100,41,2.17,scattered clouds
276,Chuy,UY,-33.6971,-53.4616,72.75,56,75,15.79,broken clouds
277,Amapa,BR,1.0,-52.0,79.54,92,98,4.0,moderate rain
278,Mendoza,AR,-32.8908,-68.8272,83.73,34,20,6.91,few clouds
279,Souillac,MU,-20.5167,57.5167,79.18,83,75,5.75,broken clouds
280,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,4.61,clear sky
281,Tyup,KG,42.7276,78.3648,16.52,74,36,5.79,scattered clouds
282,Zhanaozen,KZ,43.3,52.8,29.55,90,58,7.9,broken clouds
283,Eureka,US,40.8021,-124.1637,43.41,59,2,2.91,clear sky
284,Poum,NC,-20.2333,164.0167,81.07,88,100,29.44,overcast clouds
285,Guerrero Negro,MX,27.9769,-114.0611,68.09,26,0,2.8,clear sky
286,Kichera,RU,55.9375,110.0997,10.89,96,100,2.68,light snow
287,Aklavik,CA,68.2191,-135.0107,-29.2,62,75,11.5,broken clouds
288,Rawson,AR,-43.3002,-65.1023,89.8,20,0,19.57,clear sky
289,Tiznit,MA,29.5833,-9.5,70.75,16,33,6.26,scattered clouds
290,Tynda,RU,55.1667,124.7167,-18.74,100,37,3.13,scattered clouds
291,Ngaoundere,CM,7.3167,13.5833,72.88,19,14,6.31,few clouds
292,Fort Nelson,CA,58.8053,-122.7002,24.39,93,75,0.0,broken clouds
293,Gabriel Leyva Solano,MX,25.6667,-108.6417,77.11,21,0,5.95,clear sky
294,Magugu,TZ,-4.0167,35.7667,64.94,85,100,0.49,overcast clouds
295,Sorong,ID,-0.8833,131.25,78.96,81,52,3.89,broken clouds
296,Saint-Georges,GD,12.0564,-61.7485,85.68,66,75,24.16,broken clouds
297,San Vicente,AR,-26.6167,-54.1333,82.92,15,0,6.38,clear sky
